Date,Start of Day,Day Name,Year,Start of Month,Quarter,Start of Week,Start of Quarter
01-01-2020,01-01-2020,Wednesday,2020,01-01-2020,1,29-12-2019,01-01-2020
02-01-2020,02-01-2020,Thursday,2020,01-01-2020,1,29-12-2019,01-01-2020
03-01-2020,03-01-2020,Friday,2020,01-01-2020,1,29-12-2019,01-01-2020
04-01-2020,04-01-2020,Saturday,2020,01-01-2020,1,29-12-2019,01-01-2020
05-01-2020,05-01-2020,Sunday,2020,01-01-2020,1,05-01-2020,01-01-2020
06-01-2020,06-01-2020,Monday,2020,01-01-2020,1,05-01-2020,01-01-2020
07-01-2020,07-01-2020,Tuesday,2020,01-01-2020,1,05-01-2020,01-01-2020
08-01-2020,08-01-2020,Wednesday,2020,01-01-2020,1,05-01-2020,01-01-2020
09-01-2020,09-01-2020,Thursday,2020,01-01-2020,1,05-01-2020,01-01-2020
10-01-2020,10-01-2020,Friday,2020,01-01-2020,1,05-01-2020,01-01-2020
11-01-2020,11-01-2020,Saturday,2020,01-01-2020,1,05-01-2020,01-01-2020
12-01-2020,12-01-2020,Sunday,2020,01-01-2020,1,12-01-2020,01-01-2020
13-01-2020,13-01-2020,Monday,2020,01-01-2020,1,12-01-2020,01-01-2020
14-01-2020,14-01-2020,Tuesday,2020,01-01-2020,1,12-01-2020,01-01-2020
15-01-2020,15-01-2020,Wednesday,2020,01-01-2020,1,12-01-2020,01-01-2020
16-01-2020,16-01-2020,Thursday,2020,01-01-2020,1,12-01-2020,01-01-2020
17-01-2020,17-01-2020,Friday,2020,01-01-2020,1,12-01-2020,01-01-2020
18-01-2020,18-01-2020,Saturday,2020,01-01-2020,1,12-01-2020,01-01-2020
19-01-2020,19-01-2020,Sunday,2020,01-01-2020,1,19-01-2020,01-01-2020
20-01-2020,20-01-2020,Monday,2020,01-01-2020,1,19-01-2020,01-01-2020
21-01-2020,21-01-2020,Tuesday,2020,01-01-2020,1,19-01-2020,01-01-2020
22-01-2020,22-01-2020,Wednesday,2020,01-01-2020,1,19-01-2020,01-01-2020
23-01-2020,23-01-2020,Thursday,2020,01-01-2020,1,19-01-2020,01-01-2020
24-01-2020,24-01-2020,Friday,2020,01-01-2020,1,19-01-2020,01-01-2020
25-01-2020,25-01-2020,Saturday,2020,01-01-2020,1,19-01-2020,01-01-2020
26-01-2020,26-01-2020,Sunday,2020,01-01-2020,1,26-01-2020,01-01-2020
27-01-2020,27-01-2020,Monday,2020,01-01-2020,1,26-01-2020,01-01-2020
28-01-2020,28-01-2020,Tuesday,2020,01-01-2020,1,26-01-2020,01-01-2020
29-01-2020,29-01-2020,Wednesday,2020,01-01-2020,1,26-01-2020,01-01-2020
30-01-2020,30-01-2020,Thursday,2020,01-01-2020,1,26-01-2020,01-01-2020
31-01-2020,31-01-2020,Friday,2020,01-01-2020,1,26-01-2020,01-01-2020
01-02-2020,01-02-2020,Saturday,2020,01-02-2020,1,26-01-2020,01-01-2020
02-02-2020,02-02-2020,Sunday,2020,01-02-2020,1,02-02-2020,01-01-2020
03-02-2020,03-02-2020,Monday,2020,01-02-2020,1,02-02-2020,01-01-2020
04-02-2020,04-02-2020,Tuesday,2020,01-02-2020,1,02-02-2020,01-01-2020
05-02-2020,05-02-2020,Wednesday,2020,01-02-2020,1,02-02-2020,01-01-2020
06-02-2020,06-02-2020,Thursday,2020,01-02-2020,1,02-02-2020,01-01-2020
07-02-2020,07-02-2020,Friday,2020,01-02-2020,1,02-02-2020,01-01-2020
08-02-2020,08-02-2020,Saturday,2020,01-02-2020,1,02-02-2020,01-01-2020
