OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01-01-2020,21-09-2019,SO45080,332,14657,1,1,1
01-01-2020,05-12-2019,SO45079,312,29255,4,1,1
01-01-2020,29-10-2019,SO45082,350,11455,9,1,1
01-01-2020,16-11-2019,SO45081,338,26782,6,1,1
02-01-2020,15-12-2019,SO45083,312,14947,10,1,1
02-01-2020,12-10-2019,SO45084,310,29143,4,1,1
02-01-2020,18-12-2019,SO45086,314,18747,9,1,1
02-01-2020,09-10-2019,SO45085,312,18746,9,1,1
03-01-2020,03-10-2019,SO45093,312,18906,9,1,1
03-01-2020,29-09-2019,SO45090,310,29170,4,1,1
03-01-2020,11-12-2019,SO45088,345,11398,10,1,1
03-01-2020,24-10-2019,SO45092,313,18899,9,1,1
03-01-2020,16-12-2019,SO45089,351,25977,4,1,1
03-01-2020,26-10-2019,SO45091,314,18909,9,1,1
03-01-2020,11-09-2019,SO45087,350,11388,10,1,1
03-01-2020,11-09-2019,SO45094,310,22785,6,1,1
04-01-2020,30-10-2019,SO45096,312,12483,7,1,1
04-01-2020,30-10-2019,SO45097,313,29151,4,1,1
04-01-2020,15-09-2019,SO45098,310,29167,1,1,1
04-01-2020,07-12-2019,SO45095,344,11394,10,1,1
04-01-2020,20-12-2019,SO45099,312,29174,1,1,1
05-01-2020,19-09-2019,SO45101,313,22748,6,1,1
05-01-2020,21-11-2019,SO45100,326,19428,8,1,1
05-01-2020,24-11-2019,SO45102,310,29274,4,1,1
06-01-2020,17-10-2019,SO45104,310,29142,4,1,1
06-01-2020,01-10-2019,SO45108,310,22975,6,1,1
06-01-2020,21-11-2019,SO45105,312,22765,6,1,1
06-01-2020,24-09-2019,SO45103,310,29140,1,1,1
06-01-2020,12-11-2019,SO45106,348,19987,6,1,1
06-01-2020,14-12-2019,SO45107,312,29275,4,1,1
07-01-2020,05-11-2019,SO45109,311,14937,10,1,1
07-01-2020,17-09-2019,SO45112,324,20558,10,1,1
07-01-2020,09-11-2019,SO45111,326,25713,9,1,1
07-01-2020,05-12-2019,SO45110,311,18710,9,1,1
08-01-2020,14-12-2019,SO45119,314,18740,9,1,1
08-01-2020,21-11-2019,SO45117,342,14727,1,1,1
08-01-2020,24-11-2019,SO45116,311,29204,1,1,1
08-01-2020,01-11-2019,SO45114,310,29146,1,1,1
08-01-2020,20-09-2019,SO45115,348,25984,4,1,1
08-01-2020,29-10-2019,SO45118,314,18722,9,1,1
08-01-2020,11-11-2019,SO45113,313,29141,4,1,1
08-01-2020,25-11-2019,SO45120,344,11751,9,1,1
09-01-2020,22-11-2019,SO45124,313,18725,9,1,1
09-01-2020,23-12-2019,SO45122,314,29236,4,1,1
09-01-2020,12-12-2019,SO45123,311,22971,6,1,1
09-01-2020,24-09-2019,SO45121,310,29169,1,1,1
10-01-2020,20-11-2019,SO45129,350,11759,9,1,1
10-01-2020,12-12-2019,SO45127,313,29158,1,1,1
10-01-2020,07-10-2019,SO45128,310,18726,9,1,1
10-01-2020,26-12-2019,SO45126,311,12480,7,1,1
11-01-2020,22-09-2019,SO45136,312,19084,9,1,1
11-01-2020,30-11-2019,SO45130,313,14975,10,1,1
11-01-2020,13-12-2019,SO45134,314,22895,6,1,1
11-01-2020,13-11-2019,SO45138,349,11452,9,1,1
11-01-2020,07-12-2019,SO45132,350,25985,4,1,1
11-01-2020,10-10-2019,SO45137,310,18735,9,1,1
11-01-2020,26-09-2019,SO45133,314,29163,1,1,1
11-01-2020,14-09-2019,SO45131,344,25979,1,1,1
11-01-2020,03-12-2019,SO45135,310,29264,4,1,1
12-01-2020,25-12-2019,SO45141,312,29222,4,1,1
12-01-2020,25-12-2019,SO45143,310,29278,4,1,1
12-01-2020,26-12-2019,SO45142,311,22901,6,1,1
12-01-2020,28-11-2019,SO45145,314,18716,9,1,1
12-01-2020,25-11-2019,SO45144,311,19093,9,1,1
12-01-2020,17-11-2019,SO45140,312,12485,7,1,1
12-01-2020,25-09-2019,SO45139,314,12468,7,1,1
13-01-2020,10-12-2019,SO45148,342,14656,1,1,1
13-01-2020,28-11-2019,SO45147,312,29166,4,1,1
13-01-2020,25-09-2019,SO45146,310,14950,10,1,1
14-01-2020,08-12-2019,SO45149,314,14941,10,1,1
14-01-2020,24-12-2019,SO45154,313,18767,9,1,1
14-01-2020,27-11-2019,SO45151,314,29202,1,1,1
14-01-2020,18-09-2019,SO45150,346,25980,1,1,1
14-01-2020,30-12-2019,SO45157,344,11750,9,1,1
14-01-2020,13-10-2019,SO45156,344,11465,9,1,1
14-01-2020,05-11-2019,SO45155,312,18900,9,1,1
14-01-2020,08-12-2019,SO45153,310,19089,9,1,1
14-01-2020,25-12-2019,SO45152,310,29276,1,1,1
15-01-2020,19-12-2019,SO45162,312,18721,9,1,1
15-01-2020,05-12-2019,SO45158,344,28419,7,1,1
15-01-2020,19-10-2019,SO45163,328,25714,9,1,1
15-01-2020,26-10-2019,SO45159,349,11400,10,1,1
15-01-2020,20-11-2019,SO45161,349,25978,4,1,1
15-01-2020,11-10-2019,SO45160,310,14984,10,1,1
15-01-2020,04-10-2019,SO45164,349,11453,9,1,1
16-01-2020,23-12-2019,SO45167,311,18706,9,1,1
16-01-2020,08-12-2019,SO45169,314,18766,9,1,1
16-01-2020,23-12-2019,SO45171,345,11754,9,1,1
16-01-2020,30-09-2019,SO45170,351,11462,9,1,1
16-01-2020,26-12-2019,SO45166,312,19083,9,1,1
16-01-2020,23-10-2019,SO45168,312,18738,9,1,1
16-01-2020,31-12-2019,SO45165,313,22881,6,1,1
17-01-2020,29-09-2019,SO45172,334,18008,7,1,1
17-01-2020,22-11-2019,SO45176,313,29254,1,1,1
17-01-2020,29-11-2019,SO45174,313,29198,4,1,1
17-01-2020,30-10-2019,SO45179,351,11457,9,1,1
17-01-2020,17-12-2019,SO45178,347,11456,9,1,1
17-01-2020,28-10-2019,SO45177,314,18903,9,1,1
17-01-2020,30-10-2019,SO45173,314,29157,4,1,1
17-01-2020,23-10-2019,SO45175,313,29238,4,1,1
18-01-2020,30-11-2019,SO45180,311,15046,10,1,1
18-01-2020,01-10-2019,SO45184,320,25717,9,1,1
18-01-2020,01-01-2020,SO45183,334,25711,9,1,1
18-01-2020,25-10-2019,SO45181,310,14929,10,1,1
18-01-2020,11-12-2019,SO45185,310,14949,10,1,1
18-01-2020,25-10-2019,SO45182,312,18769,9,1,1
19-01-2020,17-11-2019,SO45186,313,14991,10,1,1
19-01-2020,06-10-2019,SO45191,328,14660,1,1,1
19-01-2020,18-10-2019,SO45187,310,15047,10,1,1
19-01-2020,15-11-2019,SO45188,311,14861,10,1,1
19-01-2020,08-12-2019,SO45190,313,18931,9,1,1
19-01-2020,03-12-2019,SO45189,310,29145,1,1,1
20-01-2020,22-11-2019,SO45196,311,18739,9,1,1
20-01-2020,02-11-2019,SO45195,313,18929,9,1,1
20-01-2020,04-10-2019,SO45193,310,22889,6,1,1
20-01-2020,21-11-2019,SO45194,313,29221,4,1,1
20-01-2020,05-01-2020,SO45192,314,14846,10,1,1
20-01-2020,03-10-2019,SO45197,314,18902,9,1,1
21-01-2020,22-11-2019,SO45201,312,29168,4,1,1
21-01-2020,19-12-2019,SO45199,346,29476,8,1,1
21-01-2020,05-01-2020,SO45200,311,29148,4,1,1
21-01-2020,17-11-2019,SO45204,345,11460,9,1,1
21-01-2020,14-12-2019,SO45203,314,18907,9,1,1
21-01-2020,12-10-2019,SO45202,314,19094,9,1,1
21-01-2020,28-09-2019,SO45198,313,14847,10,1,1
22-01-2020,10-12-2019,SO45213,349,11464,9,1,1
22-01-2020,22-11-2019,SO45207,312,29156,4,1,1
22-01-2020,01-10-2019,SO45211,311,18724,9,1,1
22-01-2020,28-10-2019,SO45212,314,18729,9,1,1
22-01-2020,07-10-2019,SO45208,344,19884,6,1,1
22-01-2020,06-01-2020,SO45209,314,29201,4,1,1
22-01-2020,11-10-2019,SO45210,311,29239,4,1,1
22-01-2020,06-01-2020,SO45206,313,12474,7,1,1
22-01-2020,25-12-2019,SO45205,344,28420,7,1,1
23-01-2020,11-11-2019,SO45215,312,29208,1,1,1
23-01-2020,06-10-2019,SO45214,310,12464,7,1,1
23-01-2020,14-10-2019,SO45216,313,29261,4,1,1
24-01-2020,01-11-2019,SO45217,314,29144,1,1,1
24-01-2020,14-10-2019,SO45219,313,22893,6,1,1
24-01-2020,22-10-2019,SO45222,330,14728,1,1,1
24-01-2020,24-10-2019,SO45221,314,22903,6,1,1
24-01-2020,04-12-2019,SO45220,312,29207,1,1,1
24-01-2020,18-12-2019,SO45223,312,18930,9,1,1
24-01-2020,23-10-2019,SO45224,311,18723,9,1,1
24-01-2020,20-11-2019,SO45218,345,25982,1,1,1
25-01-2020,25-11-2019,SO45228,314,18768,9,1,1
25-01-2020,08-10-2019,SO45226,342,14662,4,1,1
25-01-2020,20-11-2019,SO45225,338,14653,4,1,1
25-01-2020,11-12-2019,SO45227,322,14726,1,1,1
26-01-2020,21-11-2019,SO45232,310,18736,9,1,1
26-01-2020,13-12-2019,SO45233,344,11472,9,1,1
26-01-2020,30-11-2019,SO45231,314,18908,9,1,1
26-01-2020,09-11-2019,SO45229,349,11387,10,1,1
27-01-2020,24-11-2019,SO45236,312,18731,9,1,1
27-01-2020,14-12-2019,SO45234,328,18009,7,1,1
27-01-2020,27-11-2019,SO45235,314,29147,1,1,1
27-01-2020,11-01-2020,SO45237,314,18737,9,1,1
27-01-2020,15-11-2019,SO45238,346,11459,9,1,1
28-01-2020,15-11-2019,SO45242,311,29223,1,1,1
28-01-2020,11-12-2019,SO45240,310,29155,1,1,1
28-01-2020,25-12-2019,SO45241,311,29203,4,1,1
28-01-2020,16-11-2019,SO45244,350,11756,9,1,1
28-01-2020,25-12-2019,SO45243,334,25715,9,1,1
29-01-2020,24-11-2019,SO45245,310,18928,9,1,1
29-01-2020,03-11-2019,SO45246,310,18709,9,1,1
29-01-2020,30-12-2019,SO45247,334,25716,9,1,1
29-01-2020,07-01-2020,SO45248,344,11451,9,1,1
30-01-2020,19-10-2019,SO45254,314,29252,4,1,1
30-01-2020,14-12-2019,SO45258,340,25712,9,1,1
30-01-2020,16-12-2019,SO45253,314,29237,4,1,1
30-01-2020,22-10-2019,SO45256,336,14664,4,1,1
30-01-2020,16-10-2019,SO45255,314,29258,1,1,1
30-01-2020,05-11-2019,SO45250,310,14147,8,1,1
30-01-2020,08-11-2019,SO45251,334,19422,8,1,1
30-01-2020,04-01-2020,SO45249,310,14928,10,1,1
30-01-2020,15-01-2020,SO45257,314,18718,9,1,1
30-01-2020,15-11-2019,SO45252,312,22877,6,1,1
31-01-2020,30-11-2019,SO45262,313,29265,4,1,1
31-01-2020,15-10-2019,SO45259,314,29225,1,1,1
31-01-2020,18-10-2019,SO45264,349,11454,9,1,1
31-01-2020,10-12-2019,SO45261,312,29175,1,1,1
31-01-2020,05-10-2019,SO45263,340,14722,1,1,1
31-01-2020,08-10-2019,SO45265,350,11461,9,1,1
31-01-2020,05-10-2019,SO45260,310,29150,1,1,1
01-02-2020,16-11-2019,SO45345,313,15048,10,1,1
01-02-2020,07-12-2019,SO45349,312,19568,9,1,1
01-02-2020,19-11-2019,SO45347,342,14733,4,1,1
01-02-2020,06-12-2019,SO45348,311,19562,9,1,1
01-02-2020,10-01-2020,SO45350,311,19613,9,1,1
02-02-2020,31-12-2019,SO45354,340,19432,8,1,1
02-02-2020,02-01-2020,SO45352,313,15081,10,1,1
02-02-2020,01-01-2020,SO45356,313,19096,9,1,1
02-02-2020,28-10-2019,SO45353,310,28630,6,1,1
02-02-2020,07-01-2020,SO45355,312,28778,6,1,1
02-02-2020,14-12-2019,SO45351,313,12520,7,1,1
03-02-2020,09-01-2020,SO45358,312,23172,6,1,1
03-02-2020,01-12-2019,SO45357,351,28443,7,1,1
03-02-2020,23-11-2019,SO45361,312,23057,6,1,1
03-02-2020,07-11-2019,SO45360,313,28036,6,1,1
03-02-2020,25-11-2019,SO45362,313,19271,9,1,1
03-02-2020,21-12-2019,SO45359,313,11227,4,1,1
03-02-2020,15-12-2019,SO45363,312,19565,9,1,1
04-02-2020,17-11-2019,SO45364,311,14161,8,1,1
